SYMBOL,SECTOR
HNGSNGBEES,Financial Services
HOLMARC,Industrials
HOMEFIRST,Financial Services
HOMESFY,Consumer Cyclical
HONASA,Consumer Defensive
HONAUT,Industrials
HONDAPOWER,Industrials
HOVS,Technology
HPAL,Basic Materials
HPIL,Basic Materials
HPL,Industrials
HRHNEXT,Services
HSCL,Basic Materials
HTMEDIA,Communication Services
HUBTOWN,Real Estate
HUHTAMAKI,Consumer Cyclical
HYBRIDFIN,Financial Services
IBLFL,Financial Services
IBREALEST,Real Estate
ICDSLTD,Real Estate
ICEMAKE,Industrials
ICICIB22,Financial Services
ICICIBANK,Financial Services
ICICIGI,Financial Services
ICICIPRULI,Financial Services
ICIL,Consumer Cyclical
ICRA,Financial Services
IDBI,Financial Services
IDEA,Communication Services
IDEAFORGE,Technology
IDFC,Financial Services
IDFCFIRSTB,Financial Services
IDFNIFTYET,Financial Services
IEL,Industrials
IEX,Financial Services
IFBAGRO,Consumer Defensive
IFBIND,Consumer Cyclical
IFGLEXPOR,Basic Materials
IGARASHI,Consumer Cyclical
IGL,Utilities
IGPL,Basic Materials
IIFCL,Financial Services
IIFLSEC,Financial Services
IITL,Financial Services
IKIO,Technology
IL&FSENGG,Industrials
IL&FSTRANS,Industrials
IMAGICAA,Communication Services
IMFA,Basic Materials
IMPAL,Consumer Cyclical
IMPEXFERRO,Basic Materials
INCREDIBLE,Basic Materials
INDBANK,Financial Services
INDHOTEL,Consumer Cyclical
INDIACEM,Basic Materials
INDIAGLYCO,Basic Materials
INDIAMART,Communication Services
INDIANB,Financial Services
INDIANCARD,Consumer Cyclical
INDIANHUME,Industrials
INDIASHLTR,Financial Services
INDIFRA,Energy
INDIGO,Industrials
INDIGOPNTS,Basic Materials
INDNIPPON,Consumer Cyclical
INDOAMIN,Basic Materials
INDOBORAX,Basic Materials
INDOCO,Healthcare
INDORAMA,Consumer Cyclical
INDOSTAR,Financial Services
INDOTECH,Industrials
INDOTHAI,Financial Services
INDOWIND,Utilities
INDRAMEDCO,Healthcare
INDSWFTLAB,Healthcare
INDSWFTLTD,Healthcare
INDTERRAIN,Consumer Cyclical
INDUSINDBK,Financial Services
